motorcycle,terrain,traffic sign,bicycle,road,traffic light,openness ratio,pole,greenery coverage,fence,building,truck,rider,sidewalk,wall,car,person,bus,enclosure ratio,cycling suitability index,signage density index,junction_location,accident_severity,day_of_week,first_road_class,road_type,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,trunk_road_flag,closest_road_length,accidents,all accident counts,accident_rate
0,440810,0,178,324592,0,514443,0,351006,0,0,0,595,5303,0,1180,293,0,0.214237061,329895,0,9,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,579,9,9,1
0,482161,0,106,317154,0,719936,272,113825,1062,0,0,1104,359,14,1519,888,0,0.069473267,317513,0,0,2,3,6,6,20,0,-1,0,0,1,1,1,0,0,2,733,11,11,1
0,451739,0,0,333316,0,688601,7,162832,142,0,0,0,832,0,637,294,0,0.099384766,334148,0,0,3,4,6,3,20,0,-1,-1,0,1,4,1,0,0,2,1111,16,17,0.941176471
0,386349,34,0,386917,0,722471,29,137442,0,0,0,0,4834,0,262,62,0,0.083887939,391751,2.0752E-05,0,3,2,6,6,20,0,-1,0,0,1,1,1,0,0,2,918,12,13,0.923076923
0,0,3581,0,6412,0,0,0,0,1597860,0,29730,0,0,0,477,0,340,0,6412,0.002185669,8,3,5,6,6,30,3,4,3,4,1,1,1,0,0,2,57,1,3,0.333333333
0,299936,310,45,493709,6,448914,1661,385226,440,0,0,142,3602,1448,2301,660,0,0.235123291,497311,0.000192871,1,3,3,6,6,20,3,4,6,0,1,1,1,0,2,2,320,3,3,1
0,485370,0,0,321702,0,483883,243,339144,0,0,0,0,6475,207,1181,195,0,0.20699707,328177,0,0,2,7,6,6,20,0,-1,0,0,1,1,1,0,0,2,1111,16,17,0.941176471
229,0,118,0,540252,0,204414,170,890003,0,0,0,0,0,0,3214,0,0,0.543214722,540252,7.20215E-05,0,3,6,3,6,30,0,-1,-1,0,7,1,1,0,0,2,983,6,20,0.3
0,432549,0,0,328948,0,546256,178,310031,0,1,0,15,18949,56,974,443,0,0.189228516,347897,0,0,3,4,6,6,20,0,-1,0,0,1,1,1,0,0,2,579,9,9,1
0,373774,460,5,308724,0,676591,0,272454,1773,1,0,0,1851,157,1655,955,0,0.166293335,310575,0.000280762,0,3,2,6,6,20,0,-1,0,0,1,4,1,0,0,2,856,3,4,0.75
0,506145,0,0,300444,0,471622,105,351500,0,2,0,0,6446,1296,814,26,0,0.214539795,153445,0,0,2,3,6,6,20,0,-1,0,0,1,1,1,0,0,2,1111,16,17,0.941176471
0,330418,313,238,463251,0,437692,1367,397896,1173,5,0,0,2793,0,2788,466,0,0.242859497,93208.8,0.00019104,8,3,7,6,6,20,9,4,6,0,1,4,1,0,0,2,918,12,13,0.923076923
0,378360,0,0,334061,0,552907,9,370765,0,5,0,427,681,0,1159,26,0,0.226300049,66948.4,0,0,2,1,6,6,20,0,-1,0,0,1,1,1,0,0,2,1111,16,17,0.941176471
0,345891,43,0,399882,0,543209,0,349311,0,9,0,20,32,0,0,3,0,0.213208008,44434.88889,2.62451E-05,0,2,7,6,6,20,0,-1,0,0,1,1,1,0,0,2,961,10,10,1
0,35518,1158,0,581217,7,183410,4043,814026,179,11,0,92,11769,5,5012,1953,0,0.496848755,53907.81818,0.00071106,8,3,5,6,6,30,3,3,6,0,1,1,1,0,0,2,261,11,13,0.846153846
0,31295,940,16,604310,39,192075,3620,783987,241,11,0,216,12921,0,6278,2451,0,0.478514404,56111.90909,0.000597534,1,3,3,6,6,30,3,3,6,0,1,1,1,0,0,2,261,11,13,0.846153846
124,156160,64,17,599780,0,383620,415,493834,601,18,0,0,329,568,919,1951,0,0.30142334,33339.38889,3.90625E-05,2,3,3,6,6,20,3,4,6,0,1,1,1,0,0,2,1111,16,17,0.941176471
